project_id,project_name,description,required_skills,deadline_days,priority,client_name,workflow_steps,source,status
PRJ-AIML-001,AI-Powered Smart Customer Support Platform,"Develop an AI-powered platform to automate customer support, improving response times and efficiency by processing queries, classifying tickets, and assisting agents.",artificial intelligence; nlp; semantic search; rag; api development; frontend development; backend development; devops; data privacy; monitoring; auditing,90,High,NovaRetail Technologies Pvt. Ltd.,"[{'step': 'Data Collection', 'owner_role': 'Data Engineer'}, {'step': 'NLP Model Training', 'owner_role': 'ML Engineer'}, {'step': 'Knowledge Base Indexing', 'owner_role': 'Data Scientist'}, {'step': 'API Development', 'owner_role': 'Backend Developer'}, {'step': 'Chat Interface Development', 'owner_role': 'Frontend Developer'}, {'step': 'Deployment & Monitoring', 'owner_role': 'DevOps Engineer'}]",pdf_import,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Document Summarization AI,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Customer Support Chatbot,,,30,Medium,,,imported,Open
,Smart Inventory Prediction,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Smart Inventory Prediction,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,Smart Inventory Prediction,,,30,Medium,,,imported,Open
,Document Summarization AI,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Smart Inventory Prediction,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Customer Support Chatbot,,,30,Medium,,,imported,Open
,Document Summarization AI,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Document Summarization AI,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Customer Support Chatbot,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,Document Summarization AI,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Fraud Detection System,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Customer Support Chatbot,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,Smart Inventory Prediction,,,30,Medium,,,imported,Open
,Fraud Detection System,,,30,Medium,,,imported,Open
,Customer Support Chatbot,,,30,Medium,,,imported,Open
,Smart Inventory Prediction,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Fraud Detection System,,,30,Medium,,,imported,Open
,Document Summarization AI,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Customer Support Chatbot,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Smart Inventory Prediction,,,30,Medium,,,imported,Open
,Customer Support Chatbot,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,Customer Support Chatbot,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,Document Summarization AI,,,30,Medium,,,imported,Open
,Customer Support Chatbot,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Customer Support Chatbot,,,30,Medium,,,imported,Open
,Customer Support Chatbot,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Smart Inventory Prediction,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Fraud Detection System,,,30,Medium,,,imported,Open
,Fraud Detection System,,,30,Medium,,,imported,Open
,Smart Inventory Prediction,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,Document Summarization AI,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,AI Sales Assistant,,,30,Medium,,,imported,Open
,Smart Inventory Prediction,,,30,Medium,,,imported,Open
,Healthcare Diagnosis AI,,,30,Medium,,,imported,Open
,Autonomous AI Research Agent,,,30,Medium,,,imported,Open
,Fraud Detection System,,,30,Medium,,,imported,Open
